figure_id	Collection	Compartment	OMEROFigurelink	image	Flybase_ID	FlyBase link	Gene	If there is RNA expression, what patterns does the RNA make?_x	If there is protein expression, what patterns does the protein make?_x	Is RNA present in NBs?_x	Is protein present in NBs?_x	Is RNA present in other cells?_x	Is protein present in other cells?_x	General comments_x	If there is RNA expression, what patterns does the RNA make?_y	If there is protein expression, what patterns does the protein make?_y	Is RNA present in NBs?_y	Is protein present in NBs?_y	Is RNA present in other cells?_y	Is protein present in other cells?_y	General comments_y	neural RNAi phenotype	GO molecular function	GO biological process	L3 CNS	3prime UTR length	GO cellular component	FlyAtlas expression
	CPTI004244				FBgn0260747	http://flybase.org/reports/FBgn0260747	Chchd2																	positive regulation of mitochondrial ATP synthesis coupled electron transport,mitochondrion organization,cellular response to oxidative stress	75	348	cytosol,nucleus,mitochondrion,nucleoplasm	Head,S2 cells,Male accessory glands,Virgin spermatheca,Adult carcass,Brain,Adult fat body,Mated spermatheca,Salivary gland,Crop,Thoracicoabdominal ganglion,Adult heart,Hindgut,Adult eye,Larval midgut,Larvae hindgut
	CPTI002924				FBgn0260462	http://flybase.org/reports/FBgn0260462	CG12163																cysteine-type endopeptidase activity,cysteine-type peptidase activity	proteolysis involved in cellular protein catabolic process	46	158,240	fusome,perivitelline space,lysosome,extracellular space	Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Thoracicoabdominal ganglion,Larval midgut,Larval fat body,Larvae hindgut,Head,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Tubule,Adult heart,Hindgut,Adult eye,S2 cells,Midgut
	CPTI001223				FBgn0260006	http://flybase.org/reports/FBgn0260006	drd																transferring groups other than amino-acyl groups,acyltransferase activity	digestive system process,chitin-based cuticle development,oogenesis	1	516	integral component of organelle membrane	Crop,Larval trachea,Hindgut,Adult carcass,Larvae hindgut
	CPTI002256				FBgn0260003	http://flybase.org/reports/FBgn0260003	Dys																protein binding,WW domain binding,zinc ion binding,structural constituent of muscle,actin filament binding	imaginal disc-derived wing vein morphogenesis,neuromuscular synaptic transmission,imaginal disc-derived wing vein specification,muscle cell cellular homeostasis,actin cytoskeleton organization,maintenance of presynaptic active zone structure,regulation of short-term neuronal synaptic plasticity,regulation of neurotransmitter secretion,muscle cell development,establishment of cell polarity,muscle organ development	11	2631,2808,735	cell junction,plasma membrane,Z disc,cytoplasm,cytoskeleton,synapse,cell projection,dystrophin-associated glycoprotein complex,neuromuscular junction,cortical actin cytoskeleton,cell cortex	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Larval midgut,Larvae hindgut,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Hindgut,S2 cells,Midgut
	CPTI003818				FBgn0260003	http://flybase.org/reports/FBgn0260003	Dys																protein binding,WW domain binding,zinc ion binding,structural constituent of muscle,actin filament binding	imaginal disc-derived wing vein morphogenesis,neuromuscular synaptic transmission,imaginal disc-derived wing vein specification,muscle cell cellular homeostasis,actin cytoskeleton organization,maintenance of presynaptic active zone structure,regulation of short-term neuronal synaptic plasticity,regulation of neurotransmitter secretion,muscle cell development,establishment of cell polarity,muscle organ development	11	2631,2808,735	cell junction,plasma membrane,Z disc,cytoplasm,cytoskeleton,synapse,cell projection,dystrophin-associated glycoprotein complex,neuromuscular junction,cortical actin cytoskeleton,cell cortex	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Larval midgut,Larvae hindgut,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Hindgut,S2 cells,Midgut
	CPTI000031				FBgn0259984	http://flybase.org/reports/FBgn0259984	kuz																metalloendopeptidase activity	border follicle cell migration,membrane protein ectodomain proteolysis,central nervous system development,Notch signaling pathway,pericardial nephrocyte differentiation,neuroblast fate determination,ventral cord development,glial cell migration,axon guidance,cardiocyte differentiation,Notch receptor processing,muscle tissue development,positive regulation of border follicle cell migration,heart morphogenesis,lymph gland development,oogenesis,regulation of Roundabout signaling pathway,regulation of axon extension	46	2090,1145,747,742,2318	perivitelline space,integral component of membrane,plasma membrane	Male accessory glands,Mated spermatheca,Larval tubule,Brain,Ovary,Larval trachea,Tubule,Thoracicoabdominal ganglion,Larval CNS,S2 cells,Larval fat body,Larvae hindgut
	CPTI001303				FBgn0259984	http://flybase.org/reports/FBgn0259984	kuz																metalloendopeptidase activity	border follicle cell migration,membrane protein ectodomain proteolysis,central nervous system development,Notch signaling pathway,pericardial nephrocyte differentiation,neuroblast fate determination,ventral cord development,glial cell migration,axon guidance,cardiocyte differentiation,Notch receptor processing,muscle tissue development,positive regulation of border follicle cell migration,heart morphogenesis,lymph gland development,oogenesis,regulation of Roundabout signaling pathway,regulation of axon extension	46	2090,1145,747,742,2318	perivitelline space,integral component of membrane,plasma membrane	Male accessory glands,Mated spermatheca,Larval tubule,Brain,Ovary,Larval trachea,Tubule,Thoracicoabdominal ganglion,Larval CNS,S2 cells,Larval fat body,Larvae hindgut
	CPTI001586				FBgn0259735	http://flybase.org/reports/FBgn0259735	CG42389																molecular_function	biological_process	12	1440,234,217	plasma membrane	Larval salivary gland,S2 cells,Male accessory glands,Adult carcass,Brain,Adult fat body,Ovary,Larval trachea,Tubule,Thoracicoabdominal ganglion,Adult heart,Larval CNS,Adult eye,Larval midgut,Midgut
	CPTI000033				FBgn0259244	http://flybase.org/reports/FBgn0259244	CG42342																extracellular matrix structural constituent	extracellular matrix organization	47	952,354,2758	extracellular matrix,extracellular space	Thoracicoabdominal ganglion,Head,Larval CNS,Tubule,Virgin spermatheca,Adult eye,Brain,Larval trachea
	CPTI000590				FBgn0259212	http://flybase.org/reports/FBgn0259212	cno																cell adhesion molecule binding,protein binding,small GTPase binding,protein domain specific binding	compound eye development,regulation of protein localization,glial cell proliferation,positive regulation of smoothened signaling pathway,dorsal closure,regulation of JNK cascade,second mitotic wave involved in compound eye morphogenesis,establishment of mitotic spindle orientation,ommatidial rotation,epidermis morphogenesis,embryonic morphogenesis,regulation of establishment of planar polarity	15	3799,1323,168,201,3031	cell-cell junction,rhabdomere,cytoplasmic side of plasma membrane,adherens junction,cell cortex	Thoracicoabdominal ganglion,Adult heart,Tubule,Hindgut,Brain,Larval fat body,Ovary
	CPTI004166				FBgn0259176	http://flybase.org/reports/FBgn0259176	bun																protein homodimerization activity	positive regulation of cell growth,ovarian follicle cell migration,mushroom body development,dorsal appendage formation,intestinal stem cell homeostasis,determination of adult lifespan,positive regulation of cell population proliferation,tissue regeneration,compound eye photoreceptor cell differentiation,chorion-containing eggshell formation,positive regulation of neuroblast proliferation,negative regulation of cell fate specification,negative regulation of apoptotic process,regulation of transcription by RNA polymerase II	61	1179,869,2216,618	cytosol	Larval tubule,Brain,Ovary,Larval trachea,Crop,Salivary gland,Adult heart,Larval CNS,Thoracicoabdominal ganglion,Hindgut,Adult eye,S2 cells,Midgut
	CPTI004088				FBgn0259176	http://flybase.org/reports/FBgn0259176	bun																protein homodimerization activity	positive regulation of cell growth,ovarian follicle cell migration,mushroom body development,dorsal appendage formation,intestinal stem cell homeostasis,determination of adult lifespan,positive regulation of cell population proliferation,tissue regeneration,compound eye photoreceptor cell differentiation,chorion-containing eggshell formation,positive regulation of neuroblast proliferation,negative regulation of cell fate specification,negative regulation of apoptotic process,regulation of transcription by RNA polymerase II	61	1179,869,2216,618	cytosol	Larval tubule,Brain,Ovary,Larval trachea,Crop,Salivary gland,Adult heart,Larval CNS,Thoracicoabdominal ganglion,Hindgut,Adult eye,S2 cells,Midgut
	CPTI004174				FBgn0259176	http://flybase.org/reports/FBgn0259176	bun																protein homodimerization activity	positive regulation of cell growth,ovarian follicle cell migration,mushroom body development,dorsal appendage formation,intestinal stem cell homeostasis,determination of adult lifespan,positive regulation of cell population proliferation,tissue regeneration,compound eye photoreceptor cell differentiation,chorion-containing eggshell formation,positive regulation of neuroblast proliferation,negative regulation of cell fate specification,negative regulation of apoptotic process,regulation of transcription by RNA polymerase II	61	1179,869,2216,618	cytosol	Larval tubule,Brain,Ovary,Larval trachea,Crop,Salivary gland,Adult heart,Larval CNS,Thoracicoabdominal ganglion,Hindgut,Adult eye,S2 cells,Midgut
	CPTI003923				FBgn0259143	http://flybase.org/reports/FBgn0259143	CG42258																		38	1858,924	plasma membrane	Larval carcass,Brain,Ovary,Larval trachea,Crop,Thoracicoabdominal ganglion,Adult heart,Hindgut,Midgut,Adult eye,Larval midgut,Larvae hindgut
	CPTI100038				FBgn0259140	http://flybase.org/reports/FBgn0259140	CG42255																calcium ion binding		0	134	cytosol	Larval salivary gland,Larval carcass,Adult carcass,Adult fat body,Larval tubule,Salivary gland,Tubule,Adult heart,Larval CNS,Hindgut,Larval midgut,Larval fat body,Midgut
	CPTI002023				FBgn0250823	http://flybase.org/reports/FBgn0250823	gish																ATP binding,protein serine/threonine kinase activity	protein phosphorylation,regulation of endocytic recycling,negative regulation of actin nucleation,positive regulation of smoothened signaling pathway,sperm individualization,response to mechanical stimulus,olfactory learning,glial cell migration,positive regulation of canonical Wnt signaling pathway,regulation of establishment of planar polarity	39	2894,207,291,847,498,495	nucleus,sperm individualization complex,anchored component of the cytoplasmic side of the plasma membrane,plasma membrane	Thoracicoabdominal ganglion,Larval CNS,Midgut,Larval tubule,Adult eye,Brain,Ovary,Larval trachea
	CPTI004113				FBgn0250823	http://flybase.org/reports/FBgn0250823	gish																ATP binding,protein serine/threonine kinase activity	protein phosphorylation,regulation of endocytic recycling,negative regulation of actin nucleation,positive regulation of smoothened signaling pathway,sperm individualization,response to mechanical stimulus,olfactory learning,glial cell migration,positive regulation of canonical Wnt signaling pathway,regulation of establishment of planar polarity	39	2894,207,291,847,498,495	nucleus,sperm individualization complex,anchored component of the cytoplasmic side of the plasma membrane,plasma membrane	Thoracicoabdominal ganglion,Larval CNS,Midgut,Larval tubule,Adult eye,Brain,Ovary,Larval trachea
	CPTI000743				FBgn0087035	http://flybase.org/reports/FBgn0087035	AGO2																miRNA binding,protein binding,single-stranded RNA binding,RNA binding,endoribonuclease activity,siRNA binding,cleaving siRNA-paired mRNA	RNAi-mediated antiviral immune response,negative regulation of transposition,syncytial nuclear migration,dsRNA transport,gene silencing by miRNA,pole cell formation,siRNA loading onto RISC involved in RNA interference,production of siRNA involved in RNA interference,defense response to virus,cellular response to virus,dosage compensation by hyperactivation of X chromosome,RNA interference,gene silencing by RNA-directed DNA methylation,production of siRNA involved in gene silencing by small RNA,cellularization,RNA-mediated,segment polarity determination,small RNA loading onto RISC,negative regulation of viral genome replication	79	311	RISC-loading complex,cytosol,neuronal ribonucleoprotein granule,nucleus,messenger ribonucleoprotein complex,RISC complex,cytoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI002343				FBgn0087035	http://flybase.org/reports/FBgn0087035	AGO2																miRNA binding,protein binding,single-stranded RNA binding,RNA binding,endoribonuclease activity,siRNA binding,cleaving siRNA-paired mRNA	RNAi-mediated antiviral immune response,negative regulation of transposition,syncytial nuclear migration,dsRNA transport,gene silencing by miRNA,pole cell formation,siRNA loading onto RISC involved in RNA interference,production of siRNA involved in RNA interference,defense response to virus,cellular response to virus,dosage compensation by hyperactivation of X chromosome,RNA interference,gene silencing by RNA-directed DNA methylation,production of siRNA involved in gene silencing by small RNA,cellularization,RNA-mediated,segment polarity determination,small RNA loading onto RISC,negative regulation of viral genome replication	79	311	RISC-loading complex,cytosol,neuronal ribonucleoprotein granule,nucleus,messenger ribonucleoprotein complex,RISC complex,cytoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI001224				FBgn0086613	http://flybase.org/reports/FBgn0086613	Ino80																ATP hydrolysis activity,ATP binding,histone binding,protein binding,transcription cis-regulatory region binding,ATP-dependent activity,acting on DNA,DNA binding	nucleosome mobilization,DNA repair,regulation of transcription from RNA polymerase II promoter in response to stress,regulation of development,regulation of gene expression,heterochronic,negative regulation of transcription,DNA-templated	14	168	chromatin,nucleus,polytene chromosome,Ino80 complex	Larval salivary gland,Adult fat body,Ovary,Salivary gland,Larval trachea,Crop,Larval CNS,Hindgut,S2 cells,Larvae hindgut
	FTRG973				FBgn0086613	http://flybase.org/reports/FBgn0086613	Ino80																ATP hydrolysis activity,ATP binding,histone binding,protein binding,transcription cis-regulatory region binding,ATP-dependent activity,acting on DNA,DNA binding	nucleosome mobilization,DNA repair,regulation of transcription from RNA polymerase II promoter in response to stress,regulation of development,regulation of gene expression,heterochronic,negative regulation of transcription,DNA-templated	14	168	chromatin,nucleus,polytene chromosome,Ino80 complex	Larval salivary gland,Adult fat body,Ovary,Salivary gland,Larval trachea,Crop,Larval CNS,Hindgut,S2 cells,Larvae hindgut
	CPTI004107				FBgn0086347	http://flybase.org/reports/FBgn0086347	Myo31DF																phosphatidylinositol-4,5-bisphosphate binding,microfilament motor activity,ATP binding,actin filament binding	vesicle transport along actin filament,hindgut development,imaginal disc-derived male genitalia morphogenesis,actin filament organization,determination of left/right symmetry,determination of digestive tract left/right asymmetry,mesoderm development	5	517	actin cytoskeleton,plasma membrane,cell cortex,microvillus,myosin complex,vesicle,cytoplasm	Larval salivary gland,Larval carcass,S2 cells,Larval tubule,Larval trachea,Crop,Hindgut,Midgut,Larval midgut,Larvae hindgut
	CPTI002728				FBgn0086254	http://flybase.org/reports/FBgn0086254	CG6084																alditol:NADP+ 1-oxidoreductase activity,D-threo-aldose 1-dehydrogenase activity,indanol dehydrogenase activity		42	85,266	cytosol,nucleoplasm	Head,Virgin spermatheca,Adult carcass,Adult fat body,Ovary,Salivary gland,Tubule,Adult heart,Hindgut,S2 cells,Midgut
	CPTI000739				FBgn0085451	http://flybase.org/reports/FBgn0085451	htk																DNA-binding transcription factor binding,chromatin binding,transcription coregulator binding,transcription cis-regulatory region binding	negative regulation of neuron death,positive regulation of transcription by RNA polymerase II,positive regulation of Notch signaling pathway,regulation of transcription by RNA polymerase II	29	249	nucleus,Sin3-type complex	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI000883				FBgn0085451	http://flybase.org/reports/FBgn0085451	htk																DNA-binding transcription factor binding,chromatin binding,transcription coregulator binding,transcription cis-regulatory region binding	negative regulation of neuron death,positive regulation of transcription by RNA polymerase II,positive regulation of Notch signaling pathway,regulation of transcription by RNA polymerase II	29	249	nucleus,Sin3-type complex	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI000762				FBgn0085430	http://flybase.org/reports/FBgn0085430	CG34401																zinc ion binding,ubiquitin ligase-substrate adaptor activity	positive regulation of miRNA catabolic process	45	5954,1711,2515	Cul2-RING ubiquitin ligase complex	Larval carcass,S2 cells,Virgin spermatheca,Mated spermatheca,Brain,Larval tubule,Ovary,Larval trachea,Crop,Thoracicoabdominal ganglion,Larval CNS,Midgut,Adult eye,Larval midgut,Larvae hindgut
	CPTI003412				FBgn0063485	http://flybase.org/reports/FBgn0063485	Lasp																actin binding,protein binding,actin filament binding	spermatogenesis,sarcomere organization,muscle thin filament assembly,pole cell formation,regulation of myofibril size,sperm individualization,positive regulation of pole plasm oskar mRNA localization	35	612,1773	cytosol,focal adhesion,A band,sperm individualization complex,Z disc	S2 cells,Testis
	CPTI001769				FBgn0053196	http://flybase.org/reports/FBgn0053196	dpy																zinc ion binding,calcium ion binding,extracellular matrix structural constituent	chitin-based embryonic cuticle biosynthetic process,apposition of dorsal and ventral imaginal disc-derived wing surfaces,regulation of imaginal disc-derived wing size,chitin-based cuticle attachment to epithelium,open tracheal system development	1	2076,67	nucleus,extracellular matrix	Crop,Larval carcass,Hindgut,Virgin spermatheca,Adult eye,S2 cells,Mated spermatheca,Larval trachea
	CPTI000340				FBgn0053158	http://flybase.org/reports/FBgn0053158	CG33158																ribosome binding,GTP binding,GTPase activity	mature ribosome assembly	5	137	cytosol,ribonucleoprotein complex	Larval CNS,Larval salivary gland,Testis,Ovary,Larval trachea
	CPTI001046				FBgn0053087	http://flybase.org/reports/FBgn0053087	LRP1																calcium ion binding	regulation of axon guidance,regulation of lipid transport,regulation of cholesterol transport	18	1023	cytosol,dendrite	Head,Adult carcass,Brain,Adult fat body,Larval tubule,Ovary,Crop,Testis,Adult heart,Larval CNS,Thoracicoabdominal ganglion,Tubule,Adult eye,S2 cells,Larval fat body
	CPTI000330				FBgn0052683	http://flybase.org/reports/FBgn0052683	CG32683																G protein-coupled receptor binding	G protein-coupled receptor internalization	4	2403	cytoplasm,plasma membrane	Thoracicoabdominal ganglion,Head,Brain,Larval CNS
	CPTI004181				FBgn0052676	http://flybase.org/reports/FBgn0052676	stx																	proteasomal ubiquitin-independent protein catabolic process	59	3236,1284	nucleus,nucleoplasm	Larval salivary gland,Larval carcass,Male accessory glands,Adult fat body,Ovary,Salivary gland,Larval trachea,Crop,Tubule,Hindgut,Midgut,Larval midgut,Larvae hindgut
	CPTI004402				FBgn0052676	http://flybase.org/reports/FBgn0052676	stx																	proteasomal ubiquitin-independent protein catabolic process	59	3236,1284	nucleus,nucleoplasm	Larval salivary gland,Larval carcass,Male accessory glands,Adult fat body,Ovary,Salivary gland,Larval trachea,Crop,Tubule,Hindgut,Midgut,Larval midgut,Larvae hindgut
	CPTI001081				FBgn0052626	http://flybase.org/reports/FBgn0052626	AMPdeam																AMP deaminase activity	AMP metabolic process,IMP salvage,IMP biosynthetic process	13	172,3511	cytosol	Larval carcass,Virgin spermatheca,Brain,Larval tubule,Testis,Thoracicoabdominal ganglion,Larval fat body,Larvae hindgut,Head,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Tubule,Crop,Adult heart,Hindgut,Adult eye,S2 cells,Midgut
	CPTI002501				FBgn0052499	http://flybase.org/reports/FBgn0052499	Cda4															neuroblast underproliferation	chitin binding,chitin deacetylase activity	carbohydrate metabolic process	5	327	extracellular region,perivitelline space	Larval trachea,Larval CNS,Larval salivary gland,Larval carcass,Adult carcass,Larvae hindgut
	CPTI003322				FBgn0052499	http://flybase.org/reports/FBgn0052499	Cda4															neuroblast underproliferation	chitin binding,chitin deacetylase activity	carbohydrate metabolic process	5	327	extracellular region,perivitelline space	Larval trachea,Larval CNS,Larval salivary gland,Larval carcass,Adult carcass,Larvae hindgut
	CPTI001495				FBgn0052479	http://flybase.org/reports/FBgn0052479	Usp10																thiol-dependent deubiquitinase	protein deubiquitination,positive regulation of Notch signaling pathway,ubiquitin-dependent protein catabolic process,negative regulation of transcription elongation from RNA polymerase II promoter	16	1345,3138	cytosol,NELF complex	Larval CNS,Larval salivary gland,Larval carcass,S2 cells,Adult fat body,Ovary
	CPTI002910				FBgn0052066	http://flybase.org/reports/FBgn0052066	CG32066																small GTPase binding	regulation of actin filament polymerization	8	915,785	perivitelline space	Crop,S2 cells,Tubule
	FTRG1020				FBgn0052066	http://flybase.org/reports/FBgn0052066	CG32066																small GTPase binding	regulation of actin filament polymerization	8	915,785	perivitelline space	Crop,S2 cells,Tubule
	CPTI003100				FBgn0052062	http://flybase.org/reports/FBgn0052062	Rbfox1																transcription cis-regulatory region binding,transcription factor binding,mRNA binding,mRNA 3'-UTR binding	via spliceosome,nervous system development,positive regulation of transcription,imaginal disc-derived wing vein specification,regulation of alternative mRNA splicing,negative regulation of translation,germarium-derived oocyte differentiation,cellular response to chemical stress,memory,oogenesis,DNA-templated	46	360,3447,2838,402,628	P-body,nucleoplasm,cytoplasmic stress granule,Cajal body,nucleus,nuclear stress granule,cytoplasm,nucleolus	Head,Larval carcass,Virgin spermatheca,Adult carcass,Brain,Adult fat body,Mated spermatheca,Larval trachea,Crop,Thoracicoabdominal ganglion,Adult heart,Larval CNS,Adult eye,Larval fat body
	CPTI002632				FBgn0051997	http://flybase.org/reports/FBgn0051997	CG31997																molecular_function	biological_process	32	62,125	cytosol,extracellular space	Head,Larval carcass,Virgin spermatheca,Adult carcass,Brain,Larval tubule,Mated spermatheca,Larval trachea,Crop,Salivary gland,Thoracicoabdominal ganglion,Hindgut,Adult eye,Larvae hindgut
	CPTI001771				FBgn0051694	http://flybase.org/reports/FBgn0051694	CG31694																		40	544	cytosol	Larval salivary gland,Larval carcass,S2 cells,Male accessory glands,Mated spermatheca,Adult fat body,Larval tubule,Ovary,Salivary gland,Testis,Larval midgut,Larval fat body
	CPTI004278				FBgn0051431	http://flybase.org/reports/FBgn0051431	CG31431																molecular_function	biological_process	3	119,113	plasma membrane	Larval salivary gland,S2 cells,Virgin spermatheca,Mated spermatheca,Larval tubule,Salivary gland,Testis,Crop,Adult heart,Adult eye,Larval midgut,Midgut
	CPTI001332				FBgn0051374	http://flybase.org/reports/FBgn0051374	sals																actin filament binding	regulation of sarcomere organization,positive regulation of actin filament polymerization	16	334	striated muscle thin filament	Crop,Adult heart,Larval carcass,Hindgut,Male accessory glands,Adult carcass,Larvae hindgut
	CPTI003917				FBgn0051363	http://flybase.org/reports/FBgn0051363	Jupiter																structural constituent of cytoskeleton,microtubule binding	positive regulation of microtubule polymerization	573	782	cytosol,nucleus,microtubule,microtubule associated complex	Larval tubule,Brain,Ovary,Testis,Thoracicoabdominal ganglion,Adult heart,Larval CNS,Adult eye,S2 cells
	CPTI000905				FBgn0051352	http://flybase.org/reports/FBgn0051352	Unc-115a																actin binding,actin filament binding	photoreceptor cell axon guidance,axon guidance,lamellipodium assembly,cytoskeleton organization	24	388,724	actin cytoskeleton,nucleoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Testis,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI100017				FBgn0051352	http://flybase.org/reports/FBgn0051352	Unc-115a																actin binding,actin filament binding	photoreceptor cell axon guidance,axon guidance,lamellipodium assembly,cytoskeleton organization	24	388,724	actin cytoskeleton,nucleoplasm	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Testis,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI003181				FBgn0050497	http://flybase.org/reports/FBgn0050497	CG30497																					
	CPTI003680				FBgn0050463	http://flybase.org/reports/FBgn0050463	CG30463																polypeptide N-acetylgalactosaminyltransferase activity	multicellular organism reproduction,protein O-linked glycosylation	11	1241,251,1467	Golgi cisterna,cytosol,integral component of membrane,Golgi apparatus	Larval salivary gland,Male accessory glands,Larval tubule,Brain,Ovary,Salivary gland,Crop,Tubule,Hindgut,Midgut,Larval midgut,Larvae hindgut
	CPTI002151				FBgn0050463	http://flybase.org/reports/FBgn0050463	CG30463																polypeptide N-acetylgalactosaminyltransferase activity	multicellular organism reproduction,protein O-linked glycosylation	11	1241,251,1467	Golgi cisterna,cytosol,integral component of membrane,Golgi apparatus	Larval salivary gland,Male accessory glands,Larval tubule,Brain,Ovary,Salivary gland,Crop,Tubule,Hindgut,Midgut,Larval midgut,Larvae hindgut
	CPTI000808				FBgn0050423	http://flybase.org/reports/FBgn0050423	CG30423																signaling receptor binding	late endosome to vacuole transport via multivesicular body sorting pathway,negative regulation of receptor signaling pathway via JAK-STAT	30	189	endosome,Golgi apparatus	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Crop,Tubule,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI002830				FBgn0043884	http://flybase.org/reports/FBgn0043884	mask																protein kinase binding,RNA binding	sarcomere organization,negative regulation of autophagy of mitochondrion,positive regulation of receptor signaling pathway via JAK-STAT,mitochondrion organization,dorsal appendage formation,flight,positive regulation of sevenless signaling pathway,positive regulation of transcription by RNA polymerase II,transmembrane receptor protein tyrosine kinase signaling pathway,compound eye photoreceptor cell differentiation,negative regulation of establishment of blood-brain barrier	75	839,2234	cytosol,RNA polymerase II transcription regulator complex,Z disc,nucleus,M band,cytoplasm	Head,Larval carcass,Male accessory glands,Mated spermatheca,Brain,Ovary,Crop,Thoracicoabdominal ganglion,Adult heart,Larval CNS,S2 cells,Larvae hindgut
	FTRG486				FBgn0043884	http://flybase.org/reports/FBgn0043884	mask																protein kinase binding,RNA binding	sarcomere organization,negative regulation of autophagy of mitochondrion,positive regulation of receptor signaling pathway via JAK-STAT,mitochondrion organization,dorsal appendage formation,flight,positive regulation of sevenless signaling pathway,positive regulation of transcription by RNA polymerase II,transmembrane receptor protein tyrosine kinase signaling pathway,compound eye photoreceptor cell differentiation,negative regulation of establishment of blood-brain barrier	75	839,2234	cytosol,RNA polymerase II transcription regulator complex,Z disc,nucleus,M band,cytoplasm	Head,Larval carcass,Male accessory glands,Mated spermatheca,Brain,Ovary,Crop,Thoracicoabdominal ganglion,Adult heart,Larval CNS,S2 cells,Larvae hindgut
	CPTI001412				FBgn0042185	http://flybase.org/reports/FBgn0042185	MCU																calcium channel activity,uniporter activity	response to oxidative stress,mitochondrial calcium ion homeostasis,anesthesia-resistant memory,medium-term memory,calcium import into the mitochondrion,mitochondrial calcium ion transmembrane transport	4	2219,428	integral component of mitochondrial inner membrane,mitochondrion,uniplex complex	Head,Virgin spermatheca,Mated spermatheca,Brain,Tubule,Crop,Thoracicoabdominal ganglion,Larval CNS,Hindgut,Adult eye,S2 cells,Larval fat body,Larvae hindgut
	CPTI001883				FBgn0042185	http://flybase.org/reports/FBgn0042185	MCU																calcium channel activity,uniporter activity	response to oxidative stress,mitochondrial calcium ion homeostasis,anesthesia-resistant memory,medium-term memory,calcium import into the mitochondrion,mitochondrial calcium ion transmembrane transport	4	2219,428	integral component of mitochondrial inner membrane,mitochondrion,uniplex complex	Head,Virgin spermatheca,Mated spermatheca,Brain,Tubule,Crop,Thoracicoabdominal ganglion,Larval CNS,Hindgut,Adult eye,S2 cells,Larval fat body,Larvae hindgut
	CPTI003801				FBgn0042134	http://flybase.org/reports/FBgn0042134	Capr																RNA binding	embryonic,regulation of mitotic cell cycle,cellularization	191	881	cytosol,ribonucleoprotein complex,cytoplasm	Larval salivary gland,Larval carcass,Male accessory glands,Larval tubule,Ovary,Larval trachea,Larval CNS,S2 cells,Larvae hindgut
